ID_num,dest_ip,source_mac,dest_mac,packet_count,packet_per_sec,byte_count,byte_per_sec,tcp_flags,connection_attempts,unique_ports,protocol,label
1,253.218.102.144,f4:5a:65:a4:56:5e,66:18:c3:33:21:3d,73,7,1822,308,NONE,2,3,ARP,ARP Poisoning
2,211.20.44.10,f9:ff:e0:55:95:d3,79:41:3f:19:32:de,44,48,4233,1549,NONE,8,14,UDP,Normal
3,134.81.12.98,87:34:48:ff:77:99,72:2c:a0:38:39:3a,93,14,240,664,NONE,4,4,ARP,ARP Poisoning
4,25.47.35.109,b4:92:d9:66:dc:ee,75:09:cb:b9:25:73,135,42,94912,3318,,41,5,ARP,ARP Poisoning
5,73.9.99.148,26:1c:9a:c6:6d:b7,9f:d9:36:21:ac:d0,4623,254,89894,32400,SYN,4,3,TCP,DDoS
6,75.61.243.210,9f:e5:9d:77:c2:d2,16:7d:8a:78:60:d2,3270,299,57776,114930,ACK,9,2,TCP,DDoS
7,192.168.198.220,6c:16:bb:40:bc:d5,77:36:4d:f2:56:2a,50,7.3,4400,1189.1,ACK,0,6,TCP,Normal
8,177.255.74.91,31:6c:03:d8:e4:7b,f7:cc:c2:70:a7:5f,76,27,3425,439,FIN,19,16,ICMP,Normal
9,21.182.212.223,16:87:a5:aa:1c:5f,ae:d0:f4:4e:a9:a2,3848,766,181666,120332,SYN,3,7,TCP,DDoS
10,192.168.136.187,7b:fa:b6:ac:c3:66,0a:42:5f:78:dc:db,7,0.77,2053,1253.44,FIN,0,5,ICMP,Normal
11,76.7.100.146,72:6a:44:6a:7a:27,36:50:17:54:67:a0,237,35,9406,4690,SYN,59,98,UDP,Port Scanning
12,128.132.78.20,f7:61:91:21:3d:1a,cf:e4:3f:d8:f6:b1,2936,617,175362,79442,SYN,7,7,TCP,DDoS
13,207.94.67.132,14:17:44:f8:3d:44,a4:02:58:ae:f3:ea,4911,861,69084,52017,SYN,4,2,TCP,DDoS
14,68.148.0.134,42:4f:3a:66:56:cf,7f:17:79:7b:9d:78,36,7,1987,179,NONE,2,1,ARP,ARP Poisoning
15,39.188.86.47,aa:97:37:88:73:02,5b:36:75:f8:98:0c,4650,434,75955,95352,ACK,8,2,ICMP,DDoS
16,192.168.153.20,ce:e8:94:af:b9:7c,32:dc:99:f9:87:7d,4,1.02,687,329.21,,0,0,ARP,Normal
17,111.94.149.106,0a:9f:8f:a1:b9:8b,67:5d:c7:95:a8:3a,123,21,6261,387,SYN,45,75,TCP,Port Scanning
18,45.199.91.139,41:fe:4b:fe:e1:90,7b:66:60:c4:cb:1e,1722,341,102833,22445,SYN,4,9,UDP,DDoS
19,86.148.162.163,fb:81:32:eb:d2:5d,73:51:a1:d4:86:7a,43,25,557,1151,ACK,2,18,UDP,Normal
20,82.96.238.75,48:4e:e3:ef:8d:17,6f:c4:62:a0:31:59,491,90,10270,891,SYN,134,3,TCP,Brute Force
21,192.168.69.253,c4:f5:69:be:5e:e2,a8:d2:02:57:5a:bb,11,19.76,4986,1270.13,SYN,3,0,ICMP,Normal
22,230.167.56.167,66:22:a1:64:c9:fc,13:29:dd:d9:b1:ed,482,66,13079,8615,SYN,189,5,TCP,Brute Force
23,18.228.208.248,84:15:e6:10:c0:b4,f9:6b:66:4c:21:3b,248,29,30035,3242,,93,4,ARP,ARP Poisoning
24,249.223.72.216,4a:b3:28:a2:5e:2b,4e:0f:e7:fe:04:e8,3241,376,79704,32910,SYN,8,5,TCP,DDoS
25,131.91.62.191,13:14:b4:a8:57:75,04:66:27:f2:d1:a0,41,14,468,523,NONE,1,3,ARP,ARP Poisoning
26,226.162.240.77,89:2d:9a:c3:59:58,46:e2:a0:c8:9d:06,63,11,923,153,NONE,1,3,ARP,ARP Poisoning
27,163.60.93.76,5c:71:17:ec:3c:09,55:77:26:5d:38:24,49,9,1163,490,NONE,2,1,ARP,ARP Poisoning
28,211.197.78.17,f7:09:f9:72:8b:cc,cf:95:66:2f:a8:e1,358,56,17496,612,ACK,78,3,TCP,Brute Force
29,162.184.215.251,73:53:8b:4b:42:f7,d1:e9:16:a7:94:17,2780,814,83066,75252,ACK,8,5,TCP,DDoS
30,234.188.83.107,64:5a:0e:17:a1:93,28:12:63:16:d8:19,47,14,1102,393,NONE,2,3,ARP,ARP Poisoning
31,75.177.46.164,c7:58:be:31:a6:8f,95:cd:b6:dc:02:ae,93,13,1894,414,NONE,1,1,ARP,ARP Poisoning
32,208.42.18.154,4e:f0:8e:3f:ec:d4,3f:fc:52:6b:fb:68,150,38,9961,1314,NONE,87,77,UDP,Port Scanning
33,59.48.47.10,c6:ec:f7:10:03:d2,b0:55:a4:96:4f:bf,70,16,1671,1131,URG,5,1,UDP,Normal
34,192.168.112.242,d1:cd:16:a9:2e:8e,72:42:63:a9:77:7b,17,0.56,1481,155.1,,0,0,ARP,Normal
35,10.199.195.174,d5:ec:30:70:08:67,be:8a:9d:e1:0c:5d,205,42,9527,3480,NONE,63,46,TCP,Port Scanning
36,181.81.111.15,ad:5f:95:9f:d8:1e,f6:73:49:84:00:aa,55,10,657,892,NONE,2,1,ARP,ARP Poisoning
37,70.155.149.20,6e:ed:74:b1:bd:c4,9b:1c:2a:81:e8:e2,253,12,69443,2099,,172,1,ARP,ARP Poisoning
38,72.233.2.231,9e:d0:b3:34:00:f1,32:ac:91:9e:18:ca,326,50,16895,11173,SYN,65,4,TCP,Brute Force
39,235.62.52.13,e6:fb:57:4c:39:5d,a6:14:8e:ad:c5:4f,410,50,77472,2167,,34,5,ARP,ARP Poisoning
40,56.23.249.79,ac:f7:2a:a2:e7:54,7a:d0:51:cf:81:6e,193,14,6229,3243,SYN,87,59,TCP,Port Scanning
41,103.40.109.142,b4:40:e2:72:9b:a5,60:5c:6e:38:14:16,426,24,16248,12824,SYN,61,4,TCP,Brute Force
42,92.251.252.122,04:26:bf:4e:ad:d2,28:57:2b:85:e1:2b,153,76,8208,4773,SYN,144,3,TCP,Brute Force
43,25.243.201.40,17:31:f2:00:f0:31,23:1b:91:7c:e9:f6,299,46,13384,866,SYN,99,7,TCP,Brute Force
44,191.254.203.101,57:38:62:43:e2:f0,d2:a7:d6:5d:02:bf,33,10,833,169,NONE,2,3,ARP,ARP Poisoning
45,95.207.115.90,cc:41:37:9c:b9:3b,fb:6e:71:cd:c8:72,61,8,1576,826,NONE,4,4,ARP,ARP Poisoning
